Designator,Footprint,Quantity,Value,LCSC Part #
A1,Pololu_Breakout-16_15.2x20.3mm,1,A4988_Breakout_1,
A2,Pololu_Breakout-16_15.2x20.3mm,1,A4988_Breakout_2,
"C1, C2, C3",0805,3,10u,
C10,0402,1,10n,
"C11, C12",0402,2,10p,
"C13, C9",0402,2,1u,
"C14, C17, C4, C5, C6, C7",0402,6,100n,
"C15, C16",C_Radial_D6.3mm_H11.0mm_P2.50mm,2,100u,
"D1, D2",0603,2,LED,
"ELECTROLYTIC1, ELECTROLYTIC2",CP_Elec_5x5.4,2,10u,
FB1,0603,1,120R,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LS_Zero,
J10,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,PSU,
J2,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,LS_Extruder,
J3,IDC-Header_2x04_P2.54mm_Vertical,1,IDC Breakout,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LS_Extruder_Power,
J5,PinHeader_2x04_P2.54mm_Vertical,1,2.54 Pin Header,
J6,MICRO-USB-SMD_5P-P0.65-H-F_C10418,1,USB_B_Micro,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Stepper_1,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Stepper_2,
J9,PinHeader_1x02_P2.54mm_Vertical,1,USART1,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,BOOT0,
"R1, R10, R11, R12, R8, R9",0402,6,10k,
"R2, R3",0402,2,4.7k,
"R4, R5, R6",0402,3,1.5k,
R7,0402,1,5.1k,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,TO-263-3_TabPin2,1,LM1086-3.3,
U3,SOT-223-3_TabPin2,1,NCP1117-1.5_SOT223,
U4,ASAIR_AM2302_P2.54mm_Vertical,1,DHT22,
Y1,Crystal_HC49-U_Vertical,1,8MHz,
