Designator,Mid X,Mid Y,Rotation,Layer
A1,146.17,-79.95,270.0,top
A2,123.11,-79.85,270.0,top
C1,161.45,-100.325,180.0,top
C10,119.5,-99.2325,90.0,top
C11,124.98,-96.5125,0.0,top
C12,122.98,-96.5125,180.0,top
C13,117.02,-97.6125,0.0,top
C14,122.3,-99.2325,270.0,top
C15,138.01,-66.6,180.0,top
C16,115.31,-66.6,180.0,top
C17,156.23,-116.0,180.0,top
C2,167.55,-113.29,180.0,top
C3,116.18,-110.6725,180.0,top
C4,128.2,-103.0325,270.0,top
C5,125.4,-100.05,0.0,top
C6,115.68,-108.9225,180.0,top
C7,126.0,-111.6325,270.0,top
C9,120.6,-99.2325,90.0,top
D1,156.875,-96.275,270.0,top
D2,162.65,-109.2875,270.0,top
ELECTROLYTIC1,160.875,-94.475,270.0,top
ELECTROLYTIC2,166.65,-107.7,270.0,top
FB1,117.3125,-99.1125,0.0,top
J1,107.7,-120.9125,0.0,top
J10,175.8,-78.46,90.0,top
J2,121.84,-120.8125,0.0,top
J3,98.87,-88.67,180.0,top
J4,134.35,-120.8125,0.0,top
J5,103.29,-104.23,270.0,top
J6,146.1,-124.5125,0.0,top
J7,150.01,-66.5,180.0,top
J8,126.71,-66.6,180.0,top
J9,132.605,-115.1125,270.0,top
JP1,131.4,-106.37,180.0,top
R1,128.9,-105.6225,270.0,top
R10,122.47,-116.5125,0.0,top
R11,119.87,-116.5125,0.0,top
R12,117.37,-116.5125,0.0,top
R2,107.04,-85.17,90.0,top
R3,107.04,-87.27,270.0,top
R4,128.3,-112.8125,270.0,top
R5,156.875,-93.66,90.0,top
R6,162.65,-106.5775,90.0,top
R7,158.685,-116.0,180.0,top
R8,127.57,-116.5125,0.0,top
R9,124.97,-116.5125,0.0,top
U1,122.15,-105.85,180.0,top
U2,174.2,-97.7,0.0,top
U3,175.45,-111.0,180.0,top
U4,160.705,-120.6,0.0,top
Y1,124.26,-92.8125,180.0,top
